source_file,technique,feature,temperature,medium,source_folder_path,source_folder_name,filename,model_name,scale,scale_err,background,background_err,peak_pos,peak_pos_err,peak_hwhm,peak_hwhm_err,d_nm,xi_nm_1_over_hwhm,lorentz_area_proxy,source_path
master_fits_SANS_SAXS.csv,SANS,ionomer peak,50,D2O,SANS\Fitting\ionomer peak\50_D2O,50_D2O,0RH.txt.txt,peak_lorentz,0.14972,0.016665,0.065508,0.019052,0.22453,0.0012972,0.050931,0.0085799,2.7983722919786156,1.9634407335414583,0.023955867068474065,C:\Users\adamm\OneDrive - University College London\Documents\Beamtimes\SANS\D22\ILLData_252_d22_exp_1-10-67_processed\processed\SANS\Fitting\ionomer peak\50_D2O\0RH.txt.txt
master_fits_SANS_SAXS.csv,SANS,ionomer peak,50,D2O,SANS\Fitting\ionomer peak\50_D2O,50_D2O,20RH.txt.txt,peak_lorentz,0.12494,0.011935,0.04218,0.013605,0.22364,0.0015928,0.058823,0.0088095,2.8095087225807487,1.7000153001377012,0.023088650208484322,C:\Users\adamm\OneDrive - University College London\Documents\Beamtimes\SANS\D22\ILLData_252_d22_exp_1-10-67_processed\processed\SANS\Fitting\ionomer peak\50_D2O\20RH.txt.txt
master_fits_SANS_SAXS.csv,SANS,ionomer peak,50,D2O,SANS\Fitting\ionomer peak\50_D2O,50_D2O,40RH.txt.txt,peak_lorentz,0.029768,0.0055021,0.042771,0.0061193,0.21393,0.0046726,0.03163,0.015733,2.937028610844475,3.1615554852987673,0.002958003759444488,C:\Users\adamm\OneDrive - University College London\Documents\Beamtimes\SANS\D22\ILLData_252_d22_exp_1-10-67_processed\processed\SANS\Fitting\ionomer peak\50_D2O\40RH.txt.txt
master_fits_SANS_SAXS.csv,SANS,ionomer peak,50,D2O,SANS\Fitting\ionomer peak\50_D2O,50_D2O,60RH.txt.txt,peak_lorentz,0.27132,793150.0,0.02346,0.0030761,0.17779,9.6233,4.0103e-05,58.628,3.5340487694356186,2493.5790339874825,3.4182871573512824e-05,C:\Users\adamm\OneDrive - University College London\Documents\Beamtimes\SANS\D22\ILLData_252_d22_exp_1-10-67_processed\processed\SANS\Fitting\ionomer peak\50_D2O\60RH.txt.txt
master_fits_SANS_SAXS.csv,SANS,ionomer peak,50,D2O,SANS\Fitting\ionomer peak\50_D2O,50_D2O,75RH.txt.txt,peak_lorentz,0.023097,0.012233,-0.00084169,0.013278,0.2174,0.015688,0.11823,0.082024,2.8901496353171967,0.845809016324114,0.00857893024542528,C:\Users\adamm\OneDrive - University College London\Documents\Beamtimes\SANS\D22\ILLData_252_d22_exp_1-10-67_processed\processed\SANS\Fitting\ionomer peak\50_D2O\75RH.txt.txt
master_fits_SANS_SAXS.csv,SANS,ionomer peak,50,H2O,SANS\Fitting\ionomer peak\50_H2O,50_H2O,0RH.txt.txt,peak_lorentz,0.1036,0.00852,0.089134,0.010541,0.22342,0.0015348,0.037156,0.0070293,2.8122752247693072,2.691355366562601,0.012093126123570653,C:\Users\adamm\OneDrive - University College London\Documents\Beamtimes\SANS\D22\ILLData_252_d22_exp_1-10-67_processed\processed\SANS\Fitting\ionomer peak\50_H2O\0RH.txt.txt
master_fits_SANS_SAXS.csv,SANS,ionomer peak,50,H2O,SANS\Fitting\ionomer peak\50_H2O,50_H2O,20RH.txt.txt,peak_lorentz,0.25521,0.058654,0.0055888,0.061756,0.22185,0.00094768,0.06714,0.015039,2.832177285183496,1.4894250819183794,0.053830559915774796,C:\Users\adamm\OneDrive - University College London\Documents\Beamtimes\SANS\D22\ILLData_252_d22_exp_1-10-67_processed\processed\SANS\Fitting\ionomer peak\50_H2O\20RH.txt.txt
master_fits_SANS_SAXS.csv,SANS,ionomer peak,50,H2O,SANS\Fitting\ionomer peak\50_H2O,50_H2O,40RH.txt.txt,peak_lorentz,0.33974,0.015486,0.072364,0.017827,0.21846,0.00068229,0.052344,0.0038215,2.8761262048794225,1.910438636710989,0.05586804347550793,C:\Users\adamm\OneDrive - University College London\Documents\Beamtimes\SANS\D22\ILLData_252_d22_exp_1-10-67_processed\processed\SANS\Fitting\ionomer peak\50_H2O\40RH.txt.txt
master_fits_SANS_SAXS.csv,SANS,ionomer peak,50,H2O,SANS\Fitting\ionomer peak\50_H2O,50_H2O,60RH.txt.txt,peak_lorentz,0.48248,0.04048,0.02977,0.043706,0.21577,0.00060274,0.06023,0.005707,2.911982809092824,1.6603021749958493,0.09129396120364613,C:\Users\adamm\OneDrive - University College London\Documents\Beamtimes\SANS\D22\ILLData_252_d22_exp_1-10-67_processed\processed\SANS\Fitting\ionomer peak\50_H2O\60RH.txt.txt
master_fits_SANS_SAXS.csv,SANS,ionomer peak,50,H2O,SANS\Fitting\ionomer peak\50_H2O,50_H2O,75RH.txt.txt,peak_lorentz,0.52572,0.013139,0.083779,0.015352,0.21247,0.00047077,0.051508,0.0022932,2.9572105742832333,1.9414459889725868,0.08507051441174789,C:\Users\adamm\OneDrive - University College London\Documents\Beamtimes\SANS\D22\ILLData_252_d22_exp_1-10-67_processed\processed\SANS\Fitting\ionomer peak\50_H2O\75RH.txt.txt
